problem               | dir                                          | noise | type | comment

%%%%%%%%%%%%%%%%%%%%
% free optimization   |                                              |       |      |
testcase_1var_linear  | test_int_N1_hlayF3_dof13_2019-01-23_19-09-44 | 1e-2  | 0    |
testcase_1var_linear  | test_int_N1_hlayF3_dof13_2019-01-23_19-07-11 | 1e-3  | 0    |
testcase_1var_linear  | test_int_N1_hlayF3_dof13_2019-01-23_19-23-20 | 0     | 0    |
testcase_1var_linear  | test_int_N1_hlayF3_dof13_2019-02-20_10-01-11 | 0     | 0    |                                               RUNNING
%
% alpha constrained   |                                              |       |      |
testcase_1var_linear  | test_int_N1_hlayF3_dof12_2019-01-23_17-04-53 | 1e-2  | 1    |
testcase_1var_linear  | test_int_N1_hlayF3_dof12_2019-01-23_17-53-33 | 1e-3  | 1    |
testcase_1var_linear  | test_int_N1_hlayF3_dof12_2019-01-23_14-25-47 | 0     | 1    |
%
% alpha penalized     |                                              |       |      |
testcase_1var_linear  | test_int_N1_hlayF3_dof13_2019-01-24_11-34-57 | 1e-2  | 2    | smart init
testcase_1var_linear  | test_int_N1_hlayF3_dof13_2019-01-24_11-35-41 | 1e-3  | 2    | smart init
testcase_1var_linear  | test_int_N1_hlayF3_dof13_2019-01-23_14-44-32 | 0     | 2    |
%
% pen alpha  + df/da  |                                              |       |      |
testcase_1var_linear  | test_int_N1_hlayF3_dof13_2019-01-25_10-34-26 | 1e-2  | 3    | penal 1e-2
testcase_1var_linear  | test_int_N1_hlayF3_dof13_2019-01-25_10-37-59 | 1e-3  | 3    | penal 1e-2
testcase_1var_linear  | test_int_N1_hlayF3_dof13_2019-01-25_11-24-14 | 1e-3  | 3    | penal 1e-4
testcase_1var_linear  | test_int_N1_hlayF3_dof13_2019-01-25_10-38-33 | 0     | 3    | penal 1e-2
testcase_1var_linear  | test_int_N1_hlayF3_dof13_2019-01-25_11-25-20 | 0     | 3    | penal 1e-6

%%%%%%%%%%%%%%%%%%%%
% alpha free          |                                              |       |      |
testcase_1var_exp     | test_int_N1_hlayF3_dof13_2019-02-13_11-31-02 | 1e-1  | 0    | 
testcase_1var_exp     | test_int_N1_hlayF3_dof13_2019-01-24_09-44-25 | 1e-2  | 0    | 
testcase_1var_exp     | test_int_N1_hlayF3_dof13_2019-01-24_09-45-11 | 1e-3  | 0    | 
testcase_1var_exp     | test_int_N1_hlayF3_dof13_2019-01-28_10-29-25 | 0     | 0    | 
testcase_1var_exp     | test_int_N1_hlayF3_dof13_2019-02-19_18-38-29 | 0     | 0    |    
%
% alpha constr        |                                              |       |      | 
%testcase_1var_exp     | test_int_N1_hlayF3_dof12_2019-01-24_09-29-24 | 1e-2  | 1    | 
%testcase_1var_exp     | test_int_N1_hlayF3_dof12_2019-01-24_09-28-43 | 1e-3  | 1    | 
testcase_1var_exp     | test_int_N1_hlayF3_dof12_2019-02-13_09-17-13 | 1e-1  | 1    | smart init (NB init by a simulation with less noise)
%testcase_1var_exp     | test_int_N1_hlayF3_dof12_2019-02-13_11-35-34 | 1e-1  | 1    | smart init 
testcase_1var_exp     | test_int_N1_hlayF3_dof12_2019-01-24_13-42-09 | 1e-2  | 1    | smart init
